split_point,batch_size,offload_model_state_sp_num,client_offload_activation_mb_num,server_offload_activation_mb_num,client_max_mem_alloc_mb,server_max_mem_alloc_mb,filename
3,8,0,0,0,5433.9619,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora.json
3,8,0,1,0,5433.9619,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1.json
3,8,1,1,0,5271.9526,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1.json
3,8,1,1,1,5271.9526,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1_soa_1.json
3,8,1,1,2,5271.9526,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1_soa_2.json
3,8,1,1,4,5271.9526,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1_soa_4.json
3,8,1,1,6,5271.9526,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1_soa_6.json
3,8,1,1,8,5271.9526,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_1_soa_8.json
3,8,2,1,0,5079.6235,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2.json
3,8,2,1,1,5079.6235,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2_soa_1.json
3,8,2,1,2,5079.6235,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2_soa_2.json
3,8,2,1,4,5079.6235,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2_soa_4.json
3,8,2,1,6,5079.6235,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2_soa_6.json
3,8,2,1,8,5079.6235,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_2_soa_8.json
3,8,3,1,0,4887.2944,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3.json
3,8,3,1,1,4887.2944,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3_soa_1.json
3,8,3,1,2,4887.2944,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3_soa_2.json
3,8,3,1,4,4887.2944,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3_soa_4.json
3,8,3,1,6,4887.2944,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3_soa_6.json
3,8,3,1,8,4887.2944,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_cos_3_soa_8.json
3,8,0,1,1,5433.9619,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_soa_1.json
3,8,0,1,2,5433.9619,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_soa_2.json
3,8,0,1,4,5433.9619,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_soa_4.json
3,8,0,1,6,5433.9619,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_soa_6.json
3,8,0,1,8,5433.9619,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_1_soa_8.json
3,8,0,2,0,5209.5771,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2.json
3,8,1,2,0,5047.5679,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1.json
3,8,1,2,1,5047.5679,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1_soa_1.json
